id,date,board_name,keyword,product_handle,visual_strategy,product_2_handle,generated_image_path
9001,2026-09-07,Relogios de parede,relógio de parede Napoli escuro para sala,relogio-de-parede-napoli-dark-a,product_full_bleed,,public/pinterest/final/pin-9001.jpg
9002,2026-09-07,Relogios de parede,relógio de parede Torino verde decorativo,relogio-de-parede-torino-green,product_in_environment,,public/pinterest/final/pin-9002.jpg
9003,2026-09-07,Relogios de parede,sala moderna,relogio-de-parede-valentino-black-rose,environment_title_overlay,,public/pinterest/final/pin-9003.jpg
9004,2026-09-07,Relogios de parede,relógio de parede Valentino branco rose,relogio-de-parede-valentino-white-rose,product_full_bleed,,public/pinterest/final/pin-9004.jpg
9005,2026-09-07,Relogios de parede,relógios de parede elegantes para sala,relogio-de-parede-aurelio-silver-black,split_two_products,relogio-de-parede-lorenzzo-white-gold,public/pinterest/final/pin-9005.jpg
9006,2026-09-08,Banheiro organizado,organizador de maquiagem para banheiro,organizador-de-maquiagem-e-cosmeticos-grande-com-gavetas-decoracao,product_full_bleed,,public/pinterest/final/pin-9006.jpg
9007,2026-09-08,Banheiro organizado,tapete de banheiro antiderrapante azul,tapete-para-banheiro-antiderrapante-box-banho-chique-azul,product_in_environment,,public/pinterest/final/pin-9007.jpg
9008,2026-09-08,Banheiro organizado,banheiro organizado,tapete-para-banheiro-antiderrapante-box-banho-chique-marrom,environment_title_overlay,,public/pinterest/final/pin-9008.jpg
9009,2026-09-08,Banheiro organizado,porta papel higiênico preto moderno,porta-papel-higienico-de-parede-moderno-estilo-a-preto,product_full_bleed,,public/pinterest/final/pin-9009.jpg
9010,2026-09-08,Banheiro organizado,banheiro prático com tapetes e acessórios,tapete-capacho-de-natal-para-entrada-cozinha-banheiro-welcome,split_two_products,tapete-capacho-de-natal-para-entrada-cozinha-banheiro-rena,public/pinterest/final/pin-9010.jpg
9011,2026-09-09,Sala sofisticada,vaso decorativo de cerâmica dois corações,vaso-decorativo-para-sala-de-ceramica-2-coracoes-decoracao,product_full_bleed,,public/pinterest/final/pin-9011.jpg
9012,2026-09-09,Sala sofisticada,vaso decorativo coração para sala,vaso-decorativo-para-sala-de-ceramica-coracao-decoracao,product_in_environment,,public/pinterest/final/pin-9012.jpg
9013,2026-09-09,Sala sofisticada,sala decorada,vaso-decorativo-para-sala-cilindro-para-mesa-decoracao,environment_title_overlay,,public/pinterest/final/pin-9013.jpg
9014,2026-09-09,Sala sofisticada,vaso decorativo mão para mesa,vaso-decorativo-para-sala-de-ceramica-para-mesa-mao-decoracao,product_full_bleed,,public/pinterest/final/pin-9014.jpg
9015,2026-09-09,Sala sofisticada,vasos decorativos modernos para sala,vaso-decorativo-para-sala-de-ceramica-coracao-2-pecas,split_two_products,porta-retrato-personalizado-de-madeira-em-c-10x15-13x18-e-15x21,public/pinterest/final/pin-9015.jpg
9016,2026-09-10,Mesa posta elegante,jogo americano redondo de tecido,conjunto-jogo-americano-redondo-de-tecido-para-pratos-e-copos,product_full_bleed,,public/pinterest/final/pin-9016.jpg
9017,2026-09-10,Mesa posta elegante,jogo americano flor para mesa posta,jogo-americano-redondo-de-tecido-flor-2-pecas-decoracao-de-mesa,product_in_environment,,public/pinterest/final/pin-9017.jpg
9018,2026-09-10,Mesa posta elegante,mesa posta elegante,toalha-de-mesa-para-natal-retangular-impermeavel-quadriculada-xadrez,environment_title_overlay,,public/pinterest/final/pin-9018.jpg
9019,2026-09-10,Mesa posta elegante,toalha de mesa impermeável quadriculada azul,toalha-de-mesa-para-natal-retangular-impermeavel-quadriculada-azul,product_full_bleed,,public/pinterest/final/pin-9019.jpg
9020,2026-09-10,Mesa posta elegante,mesa posta com toalhas impermeáveis,toalha-de-mesa-para-natal-retangular-impermeavel-quadriculada-vermelha,split_two_products,toalha-de-mesa-para-natal-retangular-impermeavel-quadriculada-verde,public/pinterest/final/pin-9020.jpg
9021,2026-09-11,Decoracao de parede,guirlanda de natal dourada para porta,guirlanda-de-natal-para-porta-parede-de-luxo-grande-dourada,product_full_bleed,,public/pinterest/final/pin-9021.jpg
9022,2026-09-11,Decoracao de parede,guirlanda de natal vermelha para porta,guirlanda-de-natal-para-porta-parede-de-luxo-grande-vermelha,product_in_environment,,public/pinterest/final/pin-9022.jpg
9023,2026-09-11,Decoracao de parede,entrada decorada,guirlanda-de-natal-para-porta-parede-de-luxo-grande-vermelha-verde,environment_title_overlay,,public/pinterest/final/pin-9023.jpg
9024,2026-09-11,Decoracao de parede,guirlanda de natal luxo vermelha,guirlanda-de-natal-para-porta-parede-de-luxo-grande-vermelha-1,product_full_bleed,,public/pinterest/final/pin-9024.jpg
9025,2026-09-11,Decoracao de parede,decoração de porta para natal elegante,guirlanda-de-natal-de-luxo-para-porta-parede-grande-dourada,split_two_products,tapete-capacho-de-natal-para-entrada-cozinha-banheiro-merry-christmas,public/pinterest/final/pin-9025.jpg
9026,2026-09-12,Presentes para casa nova,mini árvore de natal iluminada para casa,mini-arvore-de-natal-iluminada-decoracao-natalina-para-casa,product_full_bleed,,public/pinterest/final/pin-9026.jpg
9027,2026-09-12,Presentes para casa nova,casinha decorada de natal iluminada,casinha-decorada-de-natal-iluminada-decoracao-natalina-de-mesa,product_in_environment,,public/pinterest/final/pin-9027.jpg
9028,2026-09-12,Presentes para casa nova,decoração natalina,calendario-do-advento-de-natal-decoracao-natalina-de-mesa,environment_title_overlay,,public/pinterest/final/pin-9028.jpg
9029,2026-09-12,Presentes para casa nova,carrossel de natal decorativo de mesa,carrossel-de-natal-de-enfeite-decoracao-natalina-de-mesa,product_full_bleed,,public/pinterest/final/pin-9029.jpg
9030,2026-09-12,Presentes para casa nova,enfeites natalinos para mesa decorada,trem-de-natal-iluminado-com-led-decoracao-de-mesa-natalina,split_two_products,presepio-de-natal-completo-em-resina-decoracao-de-mesa-natalina,public/pinterest/final/pin-9030.jpg
9031,2026-09-13,Quarto decorado,capa de almofada natalina para sofá,capa-para-almofada-de-natal-45x45-para-sofa-decorativa,product_full_bleed,,public/pinterest/final/pin-9031.jpg
9032,2026-09-13,Quarto decorado,capa de almofada lisa para sofá,capa-para-almofada-de-natal-para-sofa-lisa-45x45-e-30x50,product_in_environment,,public/pinterest/final/pin-9032.jpg
9033,2026-09-13,Quarto decorado,quarto aconchegante,capa-para-almofada-de-natal-45x45-para-sofa-neve-bordado,environment_title_overlay,,public/pinterest/final/pin-9033.jpg
9034,2026-09-13,Quarto decorado,relógio de mesa analógico decorativo,relogio-de-mesa-analogico-decorativo-sofisticado,product_full_bleed,,public/pinterest/final/pin-9034.jpg
9035,2026-09-13,Quarto decorado,almofadas decorativas para quarto e sala,capa-para-almofada-de-natal-45x45-para-sofa-bordado,split_two_products,capa-de-cadeira-de-jantar-impermeavel-lisa-decorativa,public/pinterest/final/pin-9035.jpg
