id,date,board_name,keyword,product_handle,visual_strategy,product_2_handle,generated_image_path
8001,2026-08-31,Banheiro organizado,porta papel higiênico preto para banheiro moderno,porta-papel-higienico-de-parede-papeleira-para-banheiro-preto,product_full_bleed,,public/pinterest/final/pin-8001.jpg
8002,2026-08-31,Banheiro organizado,porta papel higiênico dourado para lavabo chique,porta-papel-higienico-de-parede-papeleira-para-banheiro-dourado,product_in_environment,,public/pinterest/final/pin-8002.jpg
8003,2026-08-31,Banheiro organizado,banheiro moderno,porta-papel-higienico-de-parede-moderno-estilo-a-prateado,environment_title_overlay,,public/pinterest/final/pin-8003.jpg
8004,2026-08-31,Banheiro organizado,porta papel higiênico cinza para banheiro,porta-papel-higienico-de-parede-moderno-para-banheiro-cinza,product_full_bleed,,public/pinterest/final/pin-8004.jpg
8005,2026-08-31,Banheiro organizado,banheiro organizado com acessórios modernos,saboneteira-para-banheiro-de-parede-em-inox-2-pecas,split_two_products,suporte-para-toalha-banheiro-moderno-decoracao,public/pinterest/final/pin-8005.jpg
8006,2026-09-01,Tapetes para cozinha,tapete de cozinha minimalista azul antiderrapante,tapete-para-cozinha-antiderrapante-absorvente-minimalista-azul,product_full_bleed,,public/pinterest/final/pin-8006.jpg
8007,2026-09-01,Tapetes para cozinha,tapete de cozinha listrado vermelho moderno,tapete-para-cozinha-antiderrapante-absorvente-listrado-vermelho,product_in_environment,,public/pinterest/final/pin-8007.jpg
8008,2026-09-01,Tapetes para cozinha,cozinha sofisticada,tapete-para-cozinha-antiderrapante-absorvente-listrado-marrom,environment_title_overlay,,public/pinterest/final/pin-8008.jpg
8009,2026-09-01,Tapetes para cozinha,tapete de cozinha versátil preto absorvente,tapete-para-cozinha-antiderrapante-absorvente-versatil-preto,product_full_bleed,,public/pinterest/final/pin-8009.jpg
8010,2026-09-01,Tapetes para cozinha,passadeiras modernas para cozinha decorada,tapete-para-cozinha-antiderrapante-passadeira-moderno-branco-c-laranja,split_two_products,tapete-para-cozinha-antiderrapante-passadeira-moderno-estampado,public/pinterest/final/pin-8010.jpg
8011,2026-09-02,Iluminacao decorativa,luminária espiral dourada para sala de jantar,luminaria-de-teto-para-sala-quarto-cozinha-em-led-espiral-dourada,product_full_bleed,,public/pinterest/final/pin-8011.jpg
8012,2026-09-02,Iluminacao decorativa,luminária pendente led para sala de jantar,luminaria-pendente-para-quarto-sala-cozinha-banheiro-led,product_in_environment,,public/pinterest/final/pin-8012.jpg
8013,2026-09-02,Iluminacao decorativa,sala de jantar elegante,luminaria-pendente-para-sala-quarto-cozinha-led-minimalista-2-pecas,environment_title_overlay,,public/pinterest/final/pin-8013.jpg
8014,2026-09-02,Iluminacao decorativa,arandela led moderna para sala,arandela-de-parede-externa-interna-luminaria-led,product_full_bleed,,public/pinterest/final/pin-8014.jpg
8015,2026-09-02,Iluminacao decorativa,sala de jantar com cadeira elegante,capa-de-cadeira-de-jantar-impermeavel-chique-longa,split_two_products,capa-para-cadeira-eames-eiffel-impermeavel-lisa-decorativa,public/pinterest/final/pin-8015.jpg
8016,2026-09-03,Sala sofisticada,porta retrato de vidro dourado para sala,porta-retrato-personalizado-de-vidro-chique-moderno-dourado,product_full_bleed,,public/pinterest/final/pin-8016.jpg
8017,2026-09-03,Sala sofisticada,porta retrato de vidro rosa decorativo,porta-retrato-personalizado-de-vidro-chique-moderno-rosa,product_in_environment,,public/pinterest/final/pin-8017.jpg
8018,2026-09-03,Sala sofisticada,sala decorada,porta-retrato-personalizado-de-vidro-chique-moderno-prateado,environment_title_overlay,,public/pinterest/final/pin-8018.jpg
8019,2026-09-03,Sala sofisticada,porta retrato de vidro preto moderno,porta-retrato-personalizado-de-vidro-chique-moderno-preto,product_full_bleed,,public/pinterest/final/pin-8019.jpg
8020,2026-09-03,Sala sofisticada,porta retratos modernos para decoração,porta-retrato-personalizado-de-vidro-moderno-prateado,split_two_products,porta-retrato-personalizado-em-madeira-acrilico-10x15-13x18-15x21-e-20x25,public/pinterest/final/pin-8020.jpg
8021,2026-09-04,Sala sofisticada,escultura decorativa buldogue para sala,escultura-decorativa-bandeja-buldogue-frances-decoracao-para-sala,product_full_bleed,,public/pinterest/final/pin-8021.jpg
8022,2026-09-04,Sala sofisticada,escultura pássaro de cerâmica para decoração,escultura-decorativa-para-sala-estatueta-passaro-ceramica-decoracao,product_in_environment,,public/pinterest/final/pin-8022.jpg
8023,2026-09-04,Sala sofisticada,sala sofisticada,escultura-decorativa-abstrata-o-apaixonado-decoracao-para-sala,environment_title_overlay,,public/pinterest/final/pin-8023.jpg
8024,2026-09-04,Sala sofisticada,castiçal dourado para mesa decorada,castical-de-vela-dourado-para-mesa-decoracao,product_full_bleed,,public/pinterest/final/pin-8024.jpg
8025,2026-09-04,Sala sofisticada,objetos decorativos sofisticados para sala,adorno-decorativo-de-frutas-cristal-moderno-decoracao-para-sala,split_two_products,escultura-decorativa-com-bandeja-urso-geometrico-decoracao-sala,public/pinterest/final/pin-8025.jpg
8026,2026-09-05,Mesa posta elegante,jogo de talheres inox para mesa posta elegante,jogo-de-talheres-faqueiro-em-inox-completo-24-pecas-decoracao-cozinha,product_full_bleed,,public/pinterest/final/pin-8026.jpg
8027,2026-09-05,Mesa posta elegante,bandeja espelhada redonda para café e sala,bandeja-decorativa-espelhada-redonda-de-acrilico-para-cafe-e-sala,product_in_environment,,public/pinterest/final/pin-8027.jpg
8028,2026-09-05,Mesa posta elegante,mesa posta elegante,bandeja-decorativa-redonda-de-vime-rattan-premium,environment_title_overlay,,public/pinterest/final/pin-8028.jpg
8029,2026-09-05,Mesa posta elegante,organizador de pratos vertical para cozinha,organizador-de-pratos-vertical-para-cozinha-decoracao,product_full_bleed,,public/pinterest/final/pin-8029.jpg
8030,2026-09-05,Mesa posta elegante,cozinha organizada para servir com estilo,suporte-para-papel-toalha-de-cozinha-prateleira-decoracao,split_two_products,porta-copos-pratos-para-sofa-redondo-portatil,public/pinterest/final/pin-8030.jpg
8031,2026-09-06,Quarto decorado,relógio de mesa triangular marrom para quarto,relogio-de-mesa-digital-despertador-triangular-marrom,product_full_bleed,,public/pinterest/final/pin-8031.jpg
8032,2026-09-06,Quarto decorado,relógio de mesa decorativo marrom para cabeceira,relogio-de-mesa-digital-despertador-decorativo-marrom,product_in_environment,,public/pinterest/final/pin-8032.jpg
8033,2026-09-06,Quarto decorado,quarto aconchegante,relogio-de-mesa-digital-despertador-led-grande,environment_title_overlay,,public/pinterest/final/pin-8033.jpg
8034,2026-09-06,Quarto decorado,relógio de mesa moderno branco,relogio-de-mesa-digital-despertador-moderno-branco,product_full_bleed,,public/pinterest/final/pin-8034.jpg
8035,2026-09-06,Quarto decorado,relógios de mesa com carregador sem fio,relogio-de-mesa-digital-despertador-e-carregador-sem-fio-led-moderno-3-em-1,split_two_products,relogio-de-mesa-digital-carregador-e-despertador-sem-fio-led-4-em-1,public/pinterest/final/pin-8035.jpg
