id,date,board_name,keyword,product_handle,visual_strategy,product_2_handle,generated_image_path,title,description,keywords,link,scheduled_at
"11001","2026-09-21","Relogios de parede","relógio de parede lorenzzo madeira","relogio-de-parede-lorenzzo-wood","product_full_bleed","","public/pinterest/final/pin-11001.jpg","Relógio de Parede Lorenzzo Madeira","Relógio de Parede Lorenzzo Madeira. O tom amadeirado e o mostrador claro criam um ponto de destaque na parede. Inspire-se para combinar o relógio com móveis de madeira. Conheça as opções na Chique Home. Use o cupom PINTEREST10 e ganhe 10% de desconto. Enviamos para todo o Brasil. 🇧🇷 Clique em “Acessar o site” para conferir os detalhes. #Brasil","relógio de parede lorenzzo madeira; relógio de parede para sala; decoração com madeira; Chique Home","https://chiquehome.com.br/products/relogio-de-parede-lorenzzo-wood?utm_source=pinterest&utm_medium=organic_pin&utm_campaign=pinterest_2026_09_21&utm_content=pin_11001","2026-09-21T12:30:00.000Z"
"11002","2026-09-21","Relogios de parede","relógio de parede cremona madeira em tom creme","relogio-de-parede-para-cozinha-sala-decorativo-em-madeira-refinado","product_in_environment","","public/pinterest/final/pin-11002.jpg","Relógio de Parede Cremona Madeira em Tom Creme","Relógio de Parede Cremona Madeira em Tom Creme. Uma composição para quem gosta de tons claros e madeira. Veja como o relógio pode completar a decoração da sala. Conheça as opções na Chique Home. Use o cupom PINTEREST10 e ganhe 10% de desconto. Enviamos para todo o Brasil. 🇧🇷 Clique em “Acessar o site” para conferir os detalhes. #Brasil","relógio de parede cremona madeira em tom creme; relógio de parede de madeira; sala em tons neutros; Chique Home","https://chiquehome.com.br/products/relogio-de-parede-para-cozinha-sala-decorativo-em-madeira-refinado?utm_source=pinterest&utm_medium=organic_pin&utm_campaign=pinterest_2026_09_21&utm_content=pin_11002","2026-09-21T12:31:00.000Z"
"11003","2026-09-21","Relogios de parede","relógio de parede para cozinha/sala grande decorativo - decoração","relogio-de-parede-para-cozinha-sala-grande-decorativo-decoracao","environment_title_overlay","","public/pinterest/final/pin-11003.jpg","Relógio de Parede para Cozinha/Sala Grande Decorativo","Relógio de Parede para Cozinha/Sala Grande Decorativo - Decoração. Dê destaque à parede com um relógio decorativo. Uma ideia para integrar o tempo à decoração e deixar a sala com a sua personalidade. Conheça as opções na Chique Home. Use o cupom PINTEREST10 e ganhe 10% de desconto. Enviamos para todo o Brasil. 🇧🇷 Clique em “Acessar o site” para conferir os detalhes. #Brasil","relógio de parede para cozinha/sala grande decorativo - decoração; relógio grande decorativo; decoração de parede; Chique Home","https://chiquehome.com.br/products/relogio-de-parede-para-cozinha-sala-grande-decorativo-decoracao?utm_source=pinterest&utm_medium=organic_pin&utm_campaign=pinterest_2026_09_21&utm_content=pin_11003","2026-09-21T12:32:00.000Z"
"11004","2026-09-21","Relogios de parede","relógio de parede valentino branco e preto","relogio-de-parede-para-cozinha-sala-grande-decorativo-quartz","product_full_bleed","","public/pinterest/final/pin-11004.jpg","Relógio de Parede Valentino Branco e Preto","Relógio de Parede Valentino Branco e Preto. O contraste entre o mostrador claro e a moldura preta combina com uma sala de jantar de linhas leves. Conheça as opções na Chique Home. Use o cupom PINTEREST10 e ganhe 10% de desconto. Enviamos para todo o Brasil. 🇧🇷 Clique em “Acessar o site” para conferir os detalhes. #Brasil","relógio de parede valentino branco e preto; relógio branco e preto; sala de jantar decorada; Chique Home","https://chiquehome.com.br/products/relogio-de-parede-para-cozinha-sala-grande-decorativo-quartz?utm_source=pinterest&utm_medium=organic_pin&utm_campaign=pinterest_2026_09_21&utm_content=pin_11004","2026-09-21T12:33:00.000Z"
"11005","2026-09-21","Relogios de parede","relógio de parede bellagio branco","relogio-de-parede-bellagio-white","split_two_products","relogio-de-parede-bellagio-blue","public/pinterest/final/pin-11005.jpg","Relógios de Parede Bellagio Branco e Bellagio Azul","Relógio de Parede Bellagio Branco e Relógio de Parede Bellagio Azul. Compare os modelos Bellagio Branco e Bellagio Azul em duas propostas de decoração. Escolha a cor que conversa com a sua casa. Conheça as opções na Chique Home. Use o cupom PINTEREST10 e ganhe 10% de desconto. Enviamos para todo o Brasil. 🇧🇷 Clique em “Acessar o site” para conferir os detalhes. #Brasil","relógio de parede bellagio branco; relógio de parede bellagio azul; relógio de parede branco; relógio de parede azul; Chique Home","https://chiquehome.com.br/collections/relogios-de-parede-e-de-mesa?utm_source=pinterest&utm_medium=organic_pin&utm_campaign=pinterest_2026_09_21&utm_content=pin_11005","2026-09-21T12:34:00.000Z"
"11006","2026-09-22","Banheiro organizado","porta-escova de dentes com tampa para banheiro chique","porta-escova-de-dentes-com-tampa-para-banheiro-chique","product_full_bleed","","public/pinterest/final/pin-11006.jpg","Porta-Escova de Dentes com Tampa para Banheiro Chique","Porta-Escova de Dentes com Tampa para Banheiro Chique. Guarde as escovas e componha a bancada com um porta-escova com tampa. Os detalhes dourados dão destaque à organização do banheiro. Conheça as opções na Chique Home. Use o cupom PINTEREST10 e ganhe 10% de desconto. Enviamos para todo o Brasil. 🇧🇷 Clique em “Acessar o site” para conferir os detalhes. #Brasil","porta-escova de dentes com tampa para banheiro chique; porta-escova com tampa; bancada de banheiro organizada; Chique Home","https://chiquehome.com.br/products/porta-escova-de-dentes-com-tampa-para-banheiro-chique?utm_source=pinterest&utm_medium=organic_pin&utm_campaign=pinterest_2026_09_21&utm_content=pin_11006","2026-09-22T12:30:00.000Z"
"11007","2026-09-22","Banheiro organizado","porta-papel higiênico de parede moderno duplo para banheiro - preto","porta-papel-higienico-de-parede-moderno-duplo-para-banheiro-preto","product_in_environment","","public/pinterest/final/pin-11007.jpg","Porta-Papel Higiênico de Parede Moderno Duplo para Banheiro - Preto","Porta-Papel Higiênico de Parede Moderno Duplo para Banheiro - Preto. Organize o papel higiênico ao lado do vaso com o modelo duplo preto. Uma referência para combinar acessórios de parede no banheiro. Conheça as opções na Chique Home. Use o cupom PINTEREST10 e ganhe 10% de desconto. Enviamos para todo o Brasil. 🇧🇷 Clique em “Acessar o site” para conferir os detalhes. #Brasil","porta-papel higiênico de parede moderno duplo para banheiro - preto; porta-papel higiênico preto; acessórios para banheiro; Chique Home","https://chiquehome.com.br/products/porta-papel-higienico-de-parede-moderno-duplo-para-banheiro-preto?utm_source=pinterest&utm_medium=organic_pin&utm_campaign=pinterest_2026_09_21&utm_content=pin_11007","2026-09-22T12:31:00.000Z"
"11008","2026-09-22","Banheiro organizado","porta-escova de dentes e pasta com tampa para banheiro/viagem luxo","porta-escova-de-dentes-e-pasta-com-tampa-para-banheiro-viagem-luxo","environment_title_overlay","","public/pinterest/final/pin-11008.jpg","Porta-Escova de Dentes e Pasta com Tampa para Banheiro/Viagem Luxo","Porta-Escova de Dentes e Pasta com Tampa para Banheiro/Viagem Luxo. Um lugar para escovas e pasta na rotina de cuidados. Inspire-se nesta composição de bancada com o porta-escova com tampa. Conheça as opções na Chique Home. Use o cupom PINTEREST10 e ganhe 10% de desconto. Enviamos para todo o Brasil. 🇧🇷 Clique em “Acessar o site” para conferir os detalhes. #Brasil","porta-escova de dentes e pasta com tampa para banheiro/viagem luxo; porta-escova e pasta; organização de banheiro; Chique Home","https://chiquehome.com.br/products/porta-escova-de-dentes-e-pasta-com-tampa-para-banheiro-viagem-luxo?utm_source=pinterest&utm_medium=organic_pin&utm_campaign=pinterest_2026_09_21&utm_content=pin_11008","2026-09-22T12:32:00.000Z"
"11009","2026-09-22","Banheiro organizado","saboneteira para banheiro pia de cerâmica - decoração","saboneteira-para-banheiro-pia-de-ceramica-decoracao","product_full_bleed","","public/pinterest/final/pin-11009.jpg","Saboneteira para Banheiro Pia de Cerâmica","Saboneteira para Banheiro Pia de Cerâmica - Decoração. A saboneteira de cerâmica com detalhe de rena dá personalidade à pia. Combine com acessórios que valorizem os tons do lavabo. Conheça as opções na Chique Home. Use o cupom PINTEREST10 e ganhe 10% de desconto. Enviamos para todo o Brasil. 🇧🇷 Clique em “Acessar o site” para conferir os detalhes. #Brasil","saboneteira para banheiro pia de cerâmica - decoração; saboneteira de cerâmica; decoração de lavabo; Chique Home","https://chiquehome.com.br/products/saboneteira-para-banheiro-pia-de-ceramica-decoracao?utm_source=pinterest&utm_medium=organic_pin&utm_campaign=pinterest_2026_09_21&utm_content=pin_11009","2026-09-22T12:33:00.000Z"
"11010","2026-09-22","Banheiro organizado","tapete para banheiro antiderrapante para banho chique - bege","tapete-para-banheiro-antiderrapante-box-banho-chique-bege","split_two_products","tapete-para-banheiro-antiderrapante-box-chique-cinza","public/pinterest/final/pin-11010.jpg","Tapetes para Banheiro Chique: Bege e Cinza","Tapete para Banheiro Antiderrapante para Banho Chique - Bege e Tapete para Banheiro Antiderrapante para Banho Chique - Cinza. Bege ou cinza: compare os tapetes Chique em dois banheiros. Escolha o tom que acompanha o piso e os acessórios do seu ambiente. Conheça as opções na Chique Home. Use o cupom PINTEREST10 e ganhe 10% de desconto. Enviamos para todo o Brasil. 🇧🇷 Clique em “Acessar o site” para conferir os detalhes. #Brasil","tapete para banheiro antiderrapante para banho chique - bege; tapete para banheiro antiderrapante para banho chique - cinza; tapete para banheiro bege; tapete para banheiro cinza; Chique Home","https://chiquehome.com.br/collections/banheiro?utm_source=pinterest&utm_medium=organic_pin&utm_campaign=pinterest_2026_09_21&utm_content=pin_11010","2026-09-22T12:34:00.000Z"
